,Alpha_2019_2023
ENPH,0.0646
SMCI,0.0527
MRNA,0.0427
TSLA,0.0368
NVDA,0.0355
BLDR,0.0347
AXON,0.0285
LLY,0.0283
PWR,0.0266
AMD,0.0244
MPWR,0.0221
KLAC,0.022
CDNS,0.0218
DECK,0.021
SNPS,0.021
FICO,0.0208
MCK,0.0208
LRCX,0.0206
ON,0.0197
DXCM,0.0195
ODFL,0.0194
URI,0.0192
JBL,0.0189
ANET,0.0186
PANW,0.0185
EQT,0.0184
FTNT,0.0184
AVGO,0.0183
TRGP,0.0183
FSLR,0.0176
AMAT,0.0171
HES,0.0171
STLD,0.0169
CMG,0.0164
BX,0.0163
MOH,0.0163
REGN,0.0163
PGR,0.0152
AAPL,0.0149
HUBB,0.0148
NOW,0.0144
COR,0.0142
FCX,0.0141
APA,0.014
ACGL,0.0139
COST,0.0138
HWM,0.0138
AJG,0.0136
ETN,0.0136
MSCI,0.0135
DHI,0.0134
PHM,0.0134
PODD,0.0133
AZO,0.0132
MSFT,0.0132
NUE,0.0132
GNRC,0.0131
MPC,0.013
TT,0.0129
VRTX,0.0129
WST,0.0129
AMP,0.0124
DVN,0.0122
CPRT,0.0119
LULU,0.0119
LEN,0.0118
MLM,0.0118
TMUS,0.0117
CAH,0.0115
IRM,0.0115
TER,0.0115
IT,0.0114
TDG,0.0111
CTAS,0.011
PCAR,0.011
TSCO,0.0105
MU,0.0103
ABBV,0.0102
DE,0.0102
CDW,0.0101
IR,0.0101
BG,0.01
GE,0.01
POOL,0.01
BBWI,0.0099
EPAM,0.0099
GIS,0.0098
WRB,0.0098
GWW,0.0098
MSI,0.0097
STX,0.0096
CF,0.0095
CTRA,0.0094
NXPI,0.0094
EQIX,0.0093
IDXX,0.0093
PH,0.0093
QCOM,0.0093
GEN,0.0092
ORLY,0.0092
INTU,0.009
UNH,0.009
KEYS,0.0089
NOC,0.0089
CAT,0.0088
BRO,0.0087
COP,0.0087
CSGP,0.0086
NVR,0.0086
DHR,0.0085
VMC,0.0083
AIZ,0.0082
FANG,0.0082
EXR,0.0081
LDOS,0.008
LIN,0.008
MNST,0.008
META,0.0079
RSG,0.0079
RJF,0.0078
FDS,0.0077
TMO,0.0077
CI,0.0076
HSY,0.0075
MRO,0.0075
FAST,0.0074
J,0.0074
AVY,0.0072
KR,0.0072
TGT,0.0072
ZTS,0.0072
GILD,0.0071
LOW,0.0071
PLD,0.0071
ALL,0.007
PKG,0.007
HLT,0.0069
GOOG,0.0068
ADI,0.0067
CB,0.0067
GOOGL,0.0066
AIG,0.0066
CBOE,0.0065
EG,0.0065
PSA,0.0065
STE,0.0065
TYL,0.0065
LMT,0.0064
ALB,0.0063
MMC,0.0063
VLO,0.0063
HIG,0.0062
MS,0.0062
GRMN,0.0061
MRK,0.0061
DFS,0.006
SNA,0.006
VICI,0.006
TJX,0.0059
TRV,0.0059
RMD,0.0058
BKR,0.0057
ORCL,0.0057
SJM,0.0057
CPB,0.0056
SCHW,0.0056
ETSY,0.0056
MCHP,0.0056
OXY,0.0056
SO,0.0056
WM,0.0056
DVA,0.0055
OKE,0.0055
VRSK,0.0055
ANSS,0.0053
XOM,0.0053
HUM,0.0053
BR,0.0052
